property,roost,crabnet,hotcrab,elemnet,rf,mean_test,std_test,n_test,mean_train,std_train,n_train,n_val,n_total,prop_train,prop_val,prop_test
aflow__ael_bulk_modulus_vrh,8.819988971199495,8.69175811282924,9.103410359940241,12.11888415348836,11.907190264592877,112.67225224724233,67.43438539706268,732.0,109.35969104615386,67.84778991397894,3428.0,732.0,4892.0,0.7007358953393296,0.14963205233033525,0.14963205233033525
aflow__ael_debye_temperature,37.167237505886725,33.463638378622754,35.754734237337374,45.72278955540354,36.48419790054645,335.81553429984007,174.42521694078732,732.0,335.59361956730766,187.3124696912923,3428.0,732.0,4892.0,0.7007358953393296,0.14963205233033525,0.14963205233033525
aflow__ael_shear_modulus_vrh,9.982726719372911,9.081957750144552,9.430198968596796,13.31879970369356,10.093986560461746,54.6144130443289,40.193213022389564,732.0,53.755258530048074,41.88422604984841,3428.0,732.0,4892.0,0.7007358953393296,0.14963205233033525,0.14963205233033525
aflow__agl_thermal_conductivity_300K,2.702587105570495,2.3177512050477675,2.253657997920286,3.3222088584370675,2.658115774428234,6.575415071995301,8.939165463897526,724.0,6.6592544526883275,10.598100168174577,3422.0,733.0,4879.0,0.7013732322197171,0.15023570403771264,0.1483910637425702
aflow__agl_thermal_expansion_300K,3.691802075438559e-06,3.847230009190984e-06,3.879247076798312e-06,5.421022416320884e-06,5.440927037734802e-06,5.4431691688422895e-05,3.3986549656506646e-05,724.0,5.7607074077997106e-05,3.927774398748225e-05,3421.0,733.0,4878.0,0.7013120131201313,0.15026650266502664,0.14842148421484214
aflow__Egap,0.3370208463457089,0.30149041649923997,0.31566126593309307,0.3717307360716636,0.38442659493106224,1.316153431764448,1.6759123722025493,4110.0,1.2836798722731473,1.6920167850448065,19330.0,4125.0,27565.0,0.7012515871576275,0.1496462905858879,0.14910212225648467
aflow__energy_atom,0.08638631827182092,0.09291833026549669,0.0937755413596594,0.12228352523264324,0.2238236308505431,-5.271712760604769,1.7284476366168686,4106.0,-5.283076248572281,1.8345484345929999,19346.0,4118.0,27570.0,0.7017047515415307,0.14936525208560028,0.14892999637286905
CritExam__Ed,0.06693182090368396,0.0631893493641582,0.06555876529831328,0.07866947932428335,0.07589571910852486,0.05976091230656082,0.23741000243713942,12753.0,0.06049564880259081,0.23246424201523422,59509.0,12752.0,85014.0,0.6999905897852119,0.1499988237231515,0.15001058649163668
CritExam__Ef,0.05465535582006785,0.05925951529600891,0.05904263708761208,0.07064501845451907,0.09969069914175732,-1.4166144170228332,1.0840055097427583,12753.0,-1.4198069001180453,1.0843117378080651,59509.0,12752.0,85014.0,0.6999905897852119,0.1499988237231515,0.15001058649163668
mp_bulk_modulus,11.394749532909051,11.208799181165766,11.918078196715905,15.136390995279164,14.357548749381895,107.58845446580567,73.48576518124239,947.0,105.85638075425169,73.06843177188654,4414.0,946.0,6307.0,0.6998573014111305,0.14999207230061837,0.15015062628825115
mp_elastic_anisotropy,8.082446986882657,8.262589378641366,8.125943831349236,8.190536897445,11.69086947399671,0.5535162419838008,54.650589480830185,950.0,1.5919511967822868,47.77858190435435,4431.0,950.0,6331.0,0.6998894329489812,0.1500552835255094,0.1500552835255094
mp_e_hull,0.09379515274999395,0.08863729271653312,0.09233447634738712,0.10963683855854181,0.12573450360727811,0.14922495143922537,0.47648548639631905,8500.0,0.15053136241128173,0.48997032333053747,39663.0,8499.0,56662.0,0.6999929405951079,0.14999470544633087,0.1500123539585613
mp_mu_b,2.5070462539758958,2.105486422346214,2.1803239522763405,2.694128140636178,2.7319537595376464,4.586512205243314,12.437230694798453,8500.0,4.508405875480669,12.287482002890995,39663.0,8499.0,56662.0,0.6999929405951079,0.14999470544633087,0.1500123539585613
mp_shear_modulus,12.797458596527576,12.787352315053857,12.849499279825851,15.09708368210344,12.776971858904998,50.25992683989221,41.34365963498147,928.0,51.1566860357585,41.01811621323731,4328.0,928.0,6184.0,0.6998706338939198,0.1500646830530401,0.1500646830530401
OQMD_Bandgap,0.08765674504511395,0.049157861906480124,0.04814745096997887,0.1476805729571735,0.06006096854143129,0.14767768616765153,0.6987536565516677,51242.0,0.1401869709263481,0.674603237062036,239125.0,51241.0,341608.0,0.6999982436008524,0.14999941453361748,0.15000234186553008
OQMD_Energy_per_atom,0.03248209184163397,0.032815998754853935,0.032726187764604016,0.06247957708578914,0.141052786427839,-5.490750386812387,1.9385201599436248,51255.0,-5.50016915730275,2.016361540761089,239190.0,51255.0,341700.0,0.7,0.15,0.15
OQMD_Formation_Enthalpy,0.03152593950719297,0.03114812961333457,0.03100815140082873,0.04890495825924074,0.08340752701771217,0.0027905050832258273,0.8706272702700808,51255.0,0.00672698947326344,1.0271123872107928,239190.0,51255.0,341700.0,0.7,0.15,0.15
OQMD_Volume_per_atom,0.29647489625318446,0.2765883968116225,0.2782874914602284,0.44189772788465204,0.5442527040222443,22.029115348345545,7.975638489659605,51255.0,22.039707636075676,7.947390115638922,239190.0,51255.0,341700.0,0.7,0.15,0.15
castelli,0.14756564178778697,0.12732593880392232,0.13540185480450845,0.19413343066740577,0.1522695343680709,1.3971757314569282,0.5465797735979413,478.0,1.468455497382199,0.6449335258282912,8796.0,372.0,9646.0,0.9118805722579307,0.03856520837652913,0.04955421936554012
dielectric,0.37044978683595076,0.34842634913929277,0.36629507711295406,0.44225749069596065,0.47560406025679014,2.5029020061581844,2.0192801500285857,715.0,2.4885308138404207,2.27043182959942,2975.0,302.0,3992.0,0.7452404809619239,0.07565130260521043,0.17910821643286573
elasticity_log10(G_VRH),0.09965633927811225,0.09207783109582572,0.09658466409656484,0.1245170161137133,0.09982020960286157,1.5465130808246708,0.3616021003739463,1832.0,1.554630475635871,0.36580194084115536,7138.0,747.0,9717.0,0.7345888648759905,0.0768755788823711,0.18853555624163837
elasticity_log10(K_VRH),0.07339534988087437,0.06776636109545553,0.07153311675706371,0.09040038319570129,0.07771992332303648,1.875469152225938,0.3678684772103283,1832.0,1.8846063644725277,0.36303906475460823,7154.0,731.0,9717.0,0.736235463620459,0.07522898013790265,0.18853555624163837
expt_gap,0.37282342075164304,0.33806111365896924,0.35236996001029147,0.439235759175606,0.4468028006088279,0.9137065227669866,1.3964617451142673,920.0,0.9913909263787014,1.4569825204161104,3313.0,368.0,4601.0,0.7200608563355793,0.07998261247554879,0.199956531188872
expt_is_metal,0.09808737487449945,0.08602517996078883,0.08926651206536171,0.12101456969610751,0.14645278795278796,0.48577235772357724,0.5000516890964266,984.0,0.5016526824307145,0.5000608451188787,3542.0,391.0,4917.0,0.7203579418344519,0.07952003254016676,0.20012202562538134
glass,0.1332370744770319,0.14497229564032366,0.1387672756684509,0.16219130302737894,0.16744246696035242,0.6977973568281939,0.459415023138198,1135.0,0.7136883802816901,0.452086556559384,4090.0,454.0,5679.0,0.7201972178200388,0.0799436520514175,0.19985913012854375
jdft2d,52.87869732008168,50.512459840166095,54.81143571721678,61.71399800748806,55.10521303033524,113.97202804408123,176.62217354407767,97.0,114.49051248925488,129.96870140000675,426.0,42.0,565.0,0.7539823008849558,0.0743362831858407,0.17168141592920355
mp_e_form,0.0781359420224677,0.07734775778964902,0.07961722144245931,0.7459873224325215,0.13136838382351854,-1.313501968770563,1.134744802617583,16098.0,-1.3363989927680182,1.1500968732096992,72282.0,6738.0,95118.0,0.7599192581845707,0.07083832713051158,0.16924241468491769
mp_gap,0.2595604183928289,0.26327420729877005,0.2731267780117207,0.3134798035468918,0.36251398896808446,1.1185496013114187,1.5905866401480009,13668.0,1.1477577981581197,1.5864520335511574,58843.0,5652.0,78163.0,0.7528242262963295,0.07231042820771977,0.17486534549595076
mp_is_metal,0.11667149522647494,0.09933703072043117,0.12222151553908256,0.14113495483136326,0.13727268988189117,0.4894766364257146,0.4992749188062009,13668.0,0.47433110793616257,0.4959025224185435,58828.0,5667.0,78163.0,0.7526323196397272,0.07250233486432199,0.17486534549595076
phonons,49.7672003624656,53.340788570750846,60.252594524730334,,68.68741179532016,583.5532392624322,437.60603428474815,218.0,590.5729246584697,513.1158696979358,861.0,91.0,1170.0,0.735897435897436,0.07777777777777778,0.18632478632478633
steels_yield,155.19048152825772,91.74825912866835,92.47891939603366,,103.8980365384616,1392.130647720829,287.7454491335082,62.0,1428.1576,305.43564641121134,225.0,25.0,312.0,0.7211538461538461,0.08012820512820513,0.1987179487179487
